,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
3,3,1289.0,74,23,21,16598,435.0,593.0,139.0,0.0,0.0,122.0,0.0,2,1,303.0,1.0,0.0,-1.0,3.0,90.0,22350.0,0.0014636542239685,0,0
15,15,1772.0,84,33,21,12095,384.0,140.0,176.0,240.0,438.0,140.0,254.0,0,0,206.297445500876,0.474130067224493,0.655744707220394,-0.293320528282102,5.0,89.0,29340.0,0.0149223056770308,0,0
16,16,1315846.8,67617,1824,1,11760,527808.95,393491.15,42682.4,60104.8,139667.05,81504.45,70588.0,7,1,171.0,0.285714285714286,1.0,-0.333333333333333,14.868556940201302,53.0,27146437.5,0.379272333263743,0,1
27,27,10825.0,162,71,43,9964,3570.0,2100.0,0.0,1100.0,2570.0,1485.0,0.0,1,1,3.0,0.0,0.0,-1.0,10.0,92.0,164400.0,0.0119389978213508,1,0
28,28,14553.2,567,258,1,9969,2691.0,5315.0,854.0,360.0,1580.2,3477.0,276.0,1,1,87.0,0.0,0.0,-1.0,7.0,93.0,279276.0,0.0095150119548558,0,0
36,36,4099.0,197,139,36,10159,1121.0,647.0,506.0,0.0,0.0,525.0,1300.0,0,0,241.987248271018,0.513808155977726,0.7105535999864592,-0.388748062059084,17.0,97.0,83190.0,0.0083627441461879,0,0
39,39,4680.0,267,95,15,19029,1432.0,2409.0,296.0,18.0,90.0,435.0,0.0,0,0,162.580307327188,0.4662210745325789,0.8742988140861591,-0.0935381415161603,75.0,96.0,97050.0,0.0034465819621936,0,0
43,43,29628.4,1610,787,59,10957,10135.0,6413.0,1594.0,2441.0,5833.4,1954.0,1258.0,2,1,251.0,0.0,0.0,0.0,3.0,78.0,511542.0,0.0187599711255227,1,0
44,44,2055.0,32,16,42,14330,525.0,420.0,0.0,165.0,420.0,525.0,0.0,1,1,247.0,1.0,1.0,0.0,4.0,88.0,39300.0,0.0084516129032258,0,0
55,55,2138.36,41,27,10,12662,621.3,496.59,0.0,227.76,32.54,760.17,0.0,1,1,442.0,1.0,0.0,-1.0,70.0,96.0,39308.1,0.0004597438596491,0,0
