EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
26414,CT,2008-01-30,NaT
26419,FP,2005-02-26,NaT
26424,FP,2005-02-26,2009-12-21
26430,FP,2005-02-26,2019-01-28
26430,CT,2010-03-04,NaT
26431,FP,2005-02-26,NaT
26431,CT,2012-11-27,NaT
26443,FP,2005-02-26,NaT
26444,FP,2005-02-26,NaT
26446,FP,2005-02-26,NaT
26447,FP,2005-02-26,NaT
26447,CT,2008-01-30,NaT
26462,FP,2005-02-26,2014-10-15
26467,FP,2005-02-26,2018-01-03
26470,CT,2005-02-26,NaT
26470,FP,2005-02-26,NaT
26472,CT,2005-02-26,NaT
26472,FP,2005-02-26,NaT
26473,FP,2005-02-26,2005-05-28
26475,FP,2005-02-26,2015-02-19
26481,FP,2005-02-26,2015-11-03
26486,FP,2005-02-26,NaT
26486,CT,2014-01-22,NaT
26488,FP,2005-02-26,2005-11-27
26489,FP,2005-02-26,2017-03-09
26495,FP,2005-02-26,NaT
26495,CT,2008-01-30,NaT
26498,FP,2005-02-26,NaT
26501,FP,2005-02-26,NaT
26501,CT,2018-01-29,NaT
26504,FP,2005-02-26,NaT
26506,FP,2005-02-26,2017-10-11
26506,CT,2017-10-29,NaT
26512,CT,2005-02-26,2006-06-27
26512,FP,2005-02-26,2006-06-27
26518,FP,2005-02-26,NaT
26521,FP,2005-02-26,NaT
26522,FP,2005-02-26,NaT
26528,FP,2005-02-26,NaT
26550,FP,2005-02-26,NaT
26551,FP,2005-02-26,NaT
26554,CT,2005-02-26,NaT
26554,FP,2005-02-26,2009-02-12
26560,FP,2005-02-26,NaT
26562,FP,2005-02-26,2011-04-04
26569,FP,2005-02-26,2010-12-20
26572,FP,2005-02-26,NaT
26575,FP,2005-02-26,2007-05-27
26575,CT,2009-02-22,NaT
26576,FP,2005-02-26,NaT
26576,CT,2012-08-14,NaT
26578,FP,2005-02-26,2013-10-31
26586,CT,2005-02-26,2006-05-28
26586,FP,2005-02-26,2006-05-28
26586,FP,2013-01-28,2014-06-26
26593,FP,2005-02-26,2006-09-27
26593,CT,2009-02-22,NaT
26596,FP,2005-02-26,2009-06-21
26600,FP,2005-02-26,NaT
26600,CT,2016-07-25,NaT
26605,FP,2005-02-26,NaT
26606,FP,2005-02-26,NaT
26609,FP,2005-02-26,2006-10-28
26614,FP,2005-02-26,2014-06-02
26618,FP,2005-02-26,NaT
26621,FP,2005-02-26,2009-01-05
26631,FP,2005-02-26,NaT
26632,FP,2005-02-26,NaT
26633,FP,2005-02-26,2018-12-04
26634,FP,2005-02-26,2006-10-28
26645,FP,2005-02-26,2013-08-06
26652,FP,2005-03-29,2017-01-25
26655,FP,2005-03-29,NaT
26662,FP,2005-03-29,2014-08-03
26677,FP,2005-03-29,2019-03-28
26680,FP,2005-03-29,2007-04-25
26680,FP,2012-12-28,NaT
26686,FP,2005-03-29,2015-09-30
26693,FP,2005-03-29,NaT
26699,FP,2005-03-29,NaT
26706,FP,2005-03-29,NaT
26706,CT,2014-03-06,NaT
26707,FP,2005-03-29,NaT
26707,CT,2012-01-16,NaT
26714,FP,2005-03-29,2014-08-10
26718,FP,2005-03-29,2009-11-12
26720,FP,2005-03-29,NaT
26721,FP,2005-03-29,2009-06-09
26726,FP,2005-03-29,NaT
26730,FP,2005-03-29,2009-05-28
26731,FP,2005-03-29,NaT
26741,FP,2005-03-29,2011-07-13
26746,FP,2005-03-29,NaT
26747,FP,2005-03-29,NaT
26747,CT,2017-03-14,NaT
26754,FP,2005-03-29,2007-03-28
26754,CT,2009-02-22,NaT
26758,CT,2005-03-29,NaT
26758,FP,2005-03-29,NaT
26760,FP,2005-03-29,2016-12-14
26760,CT,2017-03-15,NaT
26761,FP,2005-03-29,NaT
26761,CT,2018-01-29,NaT
26762,FP,2005-03-29,2006-09-27
26762,CT,2009-02-22,NaT
26765,FP,2005-03-29,NaT
26768,FP,2005-03-29,NaT
26768,RV,2009-12-15,NaT
26768,CT,2013-02-18,NaT
26772,FP,2005-03-29,NaT
26776,FP,2005-03-29,2019-03-13
26776,TR,2012-08-02,2019-03-13
26776,CT,2018-03-29,NaT
26784,FP,2005-03-29,NaT
26787,FP,2005-03-29,NaT
26787,CT,2008-01-30,NaT
26790,FP,2005-03-29,NaT
26792,FP,2005-03-29,2009-12-21
26794,FP,2005-03-29,NaT
26799,FP,2005-03-29,2017-09-14
26833,FP,2005-03-29,2007-02-25
26833,CT,2009-02-22,NaT
26836,FP,2005-03-29,2016-02-07
26838,CT,2005-03-29,NaT
26838,FP,2005-03-29,NaT
26844,FP,2005-03-29,2014-05-12
26845,FP,2005-03-29,2014-07-10
26845,CT,2014-10-15,NaT
26855,FP,2005-03-29,NaT
26860,FP,2005-03-29,2018-12-10
26861,FP,2005-03-29,NaT
26863,FP,2005-03-29,2014-09-22
26865,FP,2005-03-29,2009-03-08
26871,FP,2005-03-29,2019-04-01
26871,CT,2015-03-25,NaT
26877,FP,2005-03-29,NaT
26883,FP,2005-03-29,NaT
26883,CT,2008-01-29,NaT
26896,FP,2005-03-29,2010-04-01
26904,FP,2005-03-29,NaT
26911,FP,2005-03-29,2013-09-16
26912,FP,2005-03-29,NaT
26913,FP,2005-03-29,NaT
26915,FP,2005-03-29,2017-09-06
26915,CT,2017-09-28,NaT
26920,FP,2005-03-29,NaT
26920,CT,2011-02-23,NaT
26925,FP,2005-03-29,2005-11-27
26932,CT,2005-03-29,NaT
26932,FP,2005-03-29,NaT
26933,FP,2005-03-29,NaT
26936,FP,2005-03-29,2015-06-29
26936,CT,2016-02-23,NaT
26948,FP,2005-03-29,NaT
26956,FP,2005-03-29,NaT
26958,FP,2005-03-29,NaT
26962,FP,2005-03-29,2019-10-08
26962,CT,2008-01-30,NaT
26968,FP,2005-03-29,NaT
26971,FP,2005-03-29,NaT
26980,FP,2005-03-29,NaT
26982,FP,2005-03-29,NaT
26983,FP,2005-03-29,NaT
26984,FP,2005-03-29,2010-11-23
26984,CT,2010-08-24,NaT
26988,FP,2005-03-29,2006-12-28
26988,CT,2009-02-22,NaT
27003,FP,2005-03-29,NaT
27005,FP,2005-03-29,2009-03-08
27008,FP,2005-03-29,NaT
27008,CT,2016-05-03,NaT
27011,FP,2005-03-29,NaT
27011,CT,2008-01-30,NaT
27011,TR,2017-03-02,2019-01-20
27021,FP,2005-03-29,2007-11-01
27022,FP,2005-03-29,NaT
27023,FP,2005-03-29,2006-11-27
27029,FP,2005-03-29,2017-06-14
27029,CT,2017-03-14,2017-08-31
27029,FP,2017-03-29,NaT
27032,FP,2005-03-29,NaT
27032,CT,2011-11-21,NaT
27034,FP,2005-03-29,2017-12-20
27034,CT,2014-03-04,NaT
27037,FP,2005-03-29,NaT
27038,FP,2005-03-29,NaT
27041,FP,2005-03-29,NaT
27054,FP,2005-03-29,2009-08-31
27062,FP,2005-03-29,2015-12-30
27063,FP,2005-03-29,2016-02-25
27064,FP,2005-03-29,NaT
27064,CT,2015-05-25,NaT
27068,FP,2005-03-29,NaT
27068,CT,2017-03-14,NaT
27073,FP,2005-03-29,NaT
27073,CT,2013-02-18,NaT
27076,FP,2005-03-29,NaT
27083,FP,2005-03-29,2005-07-28
27083,PS,2007-06-17,2007-06-26
27083,FP,2007-06-28,2008-03-23
27083,CT,2009-02-22,NaT
27085,FP,2005-03-29,2015-09-10
27088,FP,2005-03-29,2015-12-30
27095,FP,2005-03-29,2009-03-02
27096,FP,2005-03-29,2012-06-04
27096,FP,2011-12-29,NaT
27097,FP,2005-03-29,NaT
27098,FP,2005-03-29,NaT
27101,FP,2005-03-29,2009-02-23
27105,FP,2005-03-29,NaT
27115,FP,2005-03-29,NaT
27129,FP,2005-03-29,NaT
27131,FP,2005-04-28,2007-08-06
27140,FP,2005-04-28,2019-05-16
27143,FP,2005-04-28,2005-11-27
27145,FP,2005-04-28,NaT
27148,FP,2005-04-28,2016-07-26
27148,CT,2015-06-28,NaT
27163,FP,2005-04-28,NaT
27169,FP,2005-04-28,NaT
27172,FP,2005-04-28,2016-10-27
27178,FP,2005-04-28,NaT
27180,FP,2005-04-28,2008-11-13
27180,FP,2008-12-28,2012-05-08
27180,CT,2010-03-04,NaT
27185,FP,2005-04-28,2011-08-04
27192,FP,2005-04-28,2006-03-28
27203,FP,2005-04-28,NaT
27210,FP,2005-04-28,NaT
27210,CT,2012-10-15,NaT
27213,FP,2005-04-28,2011-01-18
27225,FP,2005-04-28,NaT
27226,FP,2005-04-28,NaT
27227,FP,2005-04-28,2010-11-04
27235,FP,2005-04-28,NaT
27247,FP,2005-04-28,NaT
27251,FP,2005-04-28,NaT
27254,FP,2005-04-28,2008-04-17
27259,FP,2005-04-28,2006-10-28
27259,CT,2009-07-02,NaT
27265,FP,2005-04-28,2011-01-26
27271,FP,2005-04-28,2011-01-12
27280,FP,2005-04-28,NaT
27281,FP,2005-04-28,2012-04-25
27288,FP,2005-04-28,NaT
27288,CT,2018-01-29,NaT
27290,FP,2005-04-28,2013-09-29
27291,FP,2005-04-28,NaT
27291,CT,2009-01-14,NaT
27294,FP,2005-04-28,NaT
27297,FP,2005-04-28,NaT
27298,FP,2005-04-28,2007-09-04
27305,FP,2005-04-28,NaT
27314,FP,2005-04-28,NaT
27315,FP,2005-04-28,NaT
27315,CT,2018-01-29,NaT
27324,FP,2005-04-28,NaT
27324,CT,2013-05-22,NaT
27325,FP,2005-04-28,NaT
27335,FP,2005-04-28,NaT
27336,FP,2005-04-28,2009-09-07
27337,FP,2005-04-28,NaT
27345,FP,2005-04-28,NaT
27345,CT,2014-08-04,NaT
27350,FP,2005-04-28,2014-12-07
27351,FP,2005-04-28,2007-01-28
27352,FP,2005-04-28,2008-10-02
27356,FP,2005-04-28,NaT
27358,FP,2005-04-28,2010-03-15
27370,FP,2005-04-28,NaT
27374,FP,2005-04-28,2012-01-30
27376,FP,2005-04-28,NaT
27380,FP,2005-04-28,2017-04-02
27381,FP,2005-04-28,NaT
27393,FP,2005-04-28,NaT
27393,CT,2010-12-09,NaT
27400,FP,2005-04-28,2019-07-31
27408,FP,2005-04-28,2011-01-30
27411,FP,2005-04-28,2006-11-27
27411,CT,2009-07-02,NaT
27413,FP,2005-04-28,2009-03-31
27426,FP,2005-04-28,2015-11-23
27426,CT,2015-11-23,NaT
27428,FP,2005-04-28,2009-10-01
27433,FP,2005-04-28,2015-07-14
27436,FP,2005-04-28,2014-05-27
27436,CT,2011-01-10,NaT
27443,FP,2005-04-28,NaT
27447,FP,2005-04-28,NaT
27451,FP,2005-04-28,NaT
27453,FP,2005-04-28,NaT
27457,CT,2005-04-28,NaT
27457,FP,2005-04-28,NaT
27460,FP,2005-04-28,2014-03-03
