EXTRELNO,NAME1TITLE,POSTCODE,LANGUACODE
0000019,HR,2500,NL
0000020,HR,9550,NL
0000035,HM,2150,NL
0000042,FA,3012,NL
0000043,MW,3000,NL
0000047,HM,3360,NL
0000060,FA,3600,NL
0000072,MW,9000,NL
0000081,MW,8902,NL
0000089,FA,3600,NL
0000091,MW,9140,NL
0000093,FA,2100,NL
0000100,MW,1150,NL
0000104,MW,3600,NL
0000105,MW,1850,NL
0000109,HR,2270,NL
0000113,FA,2950,NL
0000114,HM,2840,NL
0000115,FA,3920,NL
0000120,HR,9470,NL
0000131,MW,9950,NL
0000133,FA,2970,NL
0000137,HM,2323,NL
0000148,MW,9030,NL
0000149,,2940,NL
0000156,HM,2050,NL
0000157,HR,9000,NL
0000159,FA,8870,NL
0000165,HM,3001,NL
0000169,HM,2640,NL
0000174,HM,9040,NL
0000175,HM,8800,NL
0000185,MW,9000,NL
0000186,FA,8520,NL
0000188,FA,9050,FR
0000189,FA,8790,NL
0000194,MW,2140,NL
0000199,FA,3001,NL
0000202,MW,1830,NL
0000203,,9031,NL
0000208,HM,2930,NL
0000210,FA,3090,NL
0000224,MW,9000,NL
0000227,MW,3500,NL
0000236,MW,9250,NL
0000238,HM,1380,FR
0000239,MW,3300,NL
0000246,MW,3582,NL
0000249,HM,3770,NL
0000254,HM,9080,NL
0000258,HM,2100,NL
0000259,HM,1970,NL
0000267,HR,2070,NL
0000270,MW,2920,NL
0000279,HR,1030,NL
0000283,FA,2100,NL
0000287,MW,2610,NL
0000294,MW,7160,NL
0000300,FA,3080,NL
0000304,HR,2100,NL
0000306,HM,2387,NL
0000316,MW,9800,NL
0000320,HR,2220,NL
0000329,HM,2910,NL
0000330,HM,8750,NL
0000346,HR,2570,NL
0000356,MW,3128,NL
0000359,HR,2800,NL
0000363,HR,2050,NL
0000364,HM,3920,NL
0000379,MW,2950,NL
0000380,HM,3583,NL
0000381,MW,2630,NL
0000388,,1410,FR
0000389,HR,2950,NL
0000390,HR,9520,NL
0000392,MW,3001,NL
0000394,HM,3680,NL
0000399,MW,2275,NL
0000402,HR,1410,NL
0000403,MW,2800,NL
0000405,HR,3010,NL
0000409,HM,2321,NL
0000418,HM,9040,NL
0000422,MW,2100,NL
0000423,HR,2020,NL
0000434,MW,2100,NL
0000438,MW,2170,NL
0000441,MW,9185,NL
0000442,HM,2000,NL
0000447,HM,1933,NL
0000448,HM,9031,NL
0000451,FA,3520,NL
0000453,HR,2030,NL
0000460,MW,2170,NL
0000463,HR,3840,NL
0000467,HR,2870,NL
0000477,HR,9240,NL
0000478,HR,1040,NL
0000479,MW,9060,NL
0000490,HM,2630,NL
0000499,MW,3440,NL
0000504,HR,8670,NL
0000509,HM,2275,NL
0000513,HM,8570,NL
0000515,HR,2610,NL
0000521,HM,1981,NL
0000524,HM,3600,NL
0000537,HR,1160,NL
0000546,HM,2242,NL
0000565,HM,9200,NL
0000569,HM,2600,NL
0000570,HM,3583,NL
0000577,MW,3600,NL
0000581,HR,2845,NL
0000584,FA,1750,NL
0000591,MW,2900,NL
0000595,HM,2050,NL
0000596,,9220,NL
0000607,MW,8510,NL
0000609,HM,3511,NL
0000612,HR,2630,NL
0000613,HM,3290,NL
0000615,HR,3000,NL
0000616,HM,3140,NL
0000630,MW,2180,NL
0000636,HM,2460,NL
0000640,HR,9000,NL
0000643,FA,1860,NL
0000645,HM,2520,NL
0000652,HM,,NL
0000658,FA,1700,NL
0000660,HR,2970,NL
0000665,MW,1640,NL
0000670,MW,2600,NL
0000673,MW,2020,NL
0000675,HR,3680,NL
0000680,HR,3140,NL
0000688,MW,3900,NL
0000696,HM,2910,NL
0000699,HR,2340,NL
0000701,MW,1702,NL
0000710,MW,1030,NL
0000717,HR,7034,NL
0000720,FA,2950,NL
0000722,HM,3930,NL
0000734,MW,2170,NL
0000735,MW,2910,NL
0000744,HM,1560,NL
0000748,MW,2870,NL
0000775,HR,2140,NL
0000776,MW,2020,NL
0000777,MW,1910,NL
0000779,HR,2970,NL
0000780,HR,1040,NL
0000782,FA,3920,NL
0000788,MW,8000,NL
0000789,HR,3740,NL
0000801,FA,1410,FR
0000802,MW,3990,NL
0000804,FA,8650,NL
0000805,MW,8531,NL
0000811,HR,9310,NL
0000814,HR,7000,FR
0000815,FA,2290,NL
0000822,EZ,6460,FR
0000826,FA,2460,NL
0000828,HM,3294,NL
0000840,HM,9080,NL
0000841,HR,2018,NL
0000865,HR,7181,FR
0000866,HR,1852,NL
0000870,FA,2970,NL
0000871,HR,2930,NL
0000872,FA,1840,NL
0000874,HR,9990,NL
0000879,FA,3800,NL
0000880,JU,1745,NL
0000882,HM,2570,NL
0000884,HR,2360,NL
0000885,FA,9620,NL
0000888,FA,4020,FR
0000889,HR,3040,NL
0000895,FA,1700,NL
0000904,HR,2930,NL
0000908,JU,2900,NL
0000909,MW,,NL
0000914,MW,8670,NL
0000916,MW,2440,NL
0000917,HR,3294,NL
0000922,,9988,NL
0000945,HM,1880,NL
0000947,HM,8431,NL
0000952,MW,9120,NL
0000954,HM,3600,NL
0000955,HM,9000,NL
0000975,MW,9050,NL
0000978,FA,2610,NL
0000980,HR,2150,NL
0000983,FA,2400,NL
0000988,FA,9185,NL
0000997,HM,9160,NL
0001014,HR,3012,NL
0001017,,2300,NL
0001020,HM,2140,NL
0001031,MW,3000,NL
0001036,HM,9840,NL
0001048,FA,1850,NL
0001053,FA,9660,NL
0001056,FA,2490,NL
0001058,FA,9032,NL
0001067,HM,9255,NL
0001070,HR,3128,NL
0001073,MW,2600,NL
0001074,HM,2430,NL
0001087,FA,9300,NL
0001097,HM,2880,NL
0001107,HM,2000,NL
0001112,HM,1840,NL
0001114,HR,8310,NL
0001116,FA,8750,NL
0001118,FA,8000,NL
0001128,FA,2390,NL
0001129,FA,9960,NL
0001132,HM,9667,NL
0001133,FA,2610,NL
0001136,MW,1140,FR
0001143,HR,3960,NL
0001146,HM,,FR
0001152,MW,1500,NL
0001156,FA,3511,NL
0001181,HM,8700,NL
0001185,HR,2660,NL
0001186,FA,8870,NL
0001196,FA,1780,NL
0001201,MW,8500,NL
0001210,FA,2560,NL
0001213,HM,9170,NL
0001218,FA,2490,NL
0001232,HR,2070,NL
0001237,MW,9620,NL
0001253,HM,8310,NL
0001263,HM,8210,NL
0001279,FA,1850,NL
0001292,HM,3800,NL
0001295,MW,9880,NL
0001304,HM,8500,NL
0001307,HM,3660,NL
0001308,FA,9473,NL
0001318,FA,9420,NL
0001324,HM,8400,NL
0001329,HM,2270,NL
0001335,MW,9620,NL
0001347,HM,9120,NL
0001348,MW,2180,NL
0001349,HM,8760,NL
0001357,,2323,NL
0001361,HM,8000,NL
0001365,HM,2890,NL
0001371,HR,2500,NL
0001374,HM,2880,NL
0001375,HR,1410,FR
0001376,HR,2980,NL
0001379,HR,9320,NL
0001385,MW,2000,NL
0001386,HM,8800,NL
0001394,HR,8210,NL
0001398,FA,3010,NL
0001400,HM,2140,NL
0001402,MW,2440,NL
0001403,HR,8587,NL
0001409,MW,1981,NL
0001412,HR,1000,NL
0001416,HM,2660,NL
0001417,FA,2800,NL
0001419,MW,8970,NL
0001421,HM,2050,FR
0001425,MW,2590,NL
0001428,MW,2020,NL
0001431,MW,1850,NL
0001439,HR,9220,NL
0001452,MW,3020,NL
0001455,HM,2627,NL
0001457,FA,8310,NL
0001458,HR,9031,NL
0001460,HR,3200,NL
0001463,HR,1030,NL
0001464,MW,3010,NL
0001465,HR,9800,NL
0001471,HR,3071,NL
0001481,HR,2930,NL
0001488,FA,8560,NL
0001494,HM,2240,NL
0001505,FA,3220,NL
0001506,FA,1030,NL
0001510,HM,9920,NL
0001513,FA,9800,NL
0001519,HM,2430,NL
0001522,MW,3540,NL
0001527,HM,9420,NL
0001528,HM,8680,NL
0001530,FA,3010,NL
0001531,MW,8400,NL
0001532,FA,2910,NL
0001534,MW,1410,NL
0001541,HR,8600,NL
0001544,HR,3120,NL
0001548,HM,9140,NL
0001554,FA,2550,NL
0001558,FA,1850,NL
0001559,MW,2600,NL
0001561,MW,2180,NL
0001565,MW,1081,NL
0001569,MW,2900,NL
0001571,MW,9230,NL
0001575,HR,9000,NL
0001580,MW,2170,NL
0001581,FA,2370,NL
0001583,FA,3070,NL
0001584,FA,3110,NL
0001588,MW,3840,NL
0001592,HM,1150,NL
0001596,JU,3270,NL
0001606,HM,1410,FR
0001608,HR,2018,NL
0001614,MW,8400,NL
0001617,FA,2930,NL
0001618,FA,2600,NL
0001619,HM,3060,NL
0001622,FA,3620,NL
0001630,HR,9473,NL
0001633,FA,2500,NL
0001635,HM,3211,NL
0001647,FA,8200,NL
0001651,HR,1640,FR
0001654,HR,2845,NL
0001655,FA,2140,NL
0001665,HM,2070,NL
0001668,MW,1600,NL
0001679,JU,1932,FR
0001680,HR,2900,NL
0001683,FA,2830,NL
0001686,HM,8200,NL
0001691,HR,1180,NL
0001694,HM,9190,NL
0001698,HM,3130,NL
0001699,MW,1880,NL
0001706,HR,6030,FR
0001711,MW,4682,FR
0001712,HR,4140,FR
0001715,HR,2260,NL
0001717,MW,9032,NL
0001725,MW,9000,NL
0001731,MW,2820,NL
0001734,FA,9230,NL
0001735,MW,2600,NL
0001738,HR,2930,NL
0001740,HM,2560,NL
0001750,MW,00141,FR
0001756,HM,9320,NL
0001757,HM,8880,NL
0001761,HR,4652,NL
0001764,HR,2910,NL
0001767,MW,1030,FR
0001773,FA,1495,NL
0001780,JU,2340,NL
0001783,HR,2018,NL
0001786,MW,2600,NL
0001791,JU,2060,NL
0001792,HR,2870,NL
0001795,MW,9052,NL
0001800,FA,2890,NL
0001812,MW,8020,NL
0001813,FA,8930,NL
0001818,FA,2243,NL
0001820,FA,9450,NL
0001822,HM,9830,NL
0001823,HR,1640,NL
0001825,FA,2930,NL
0001826,HR,8460,NL
0001829,HM,2550,NL
0001844,HR,3940,NL
0001845,MW,2323,NL
0001850,FA,3670,NL
0001853,HM,8510,NL
0001856,HR,2018,NL
0001859,HR,3600,NL
0001864,HR,9200,NL
0001883,MW,1150,NL
0001887,MW,3500,NL
0001891,MW,3090,NL
0001902,FA,1820,NL
0001903,FA,3800,NL
0001907,HM,2970,NL
0001914,MW,3800,NL
0001915,HR,2990,NL
0001917,FA,1851,NL
0001919,FA,8340,NL
0001922,FA,8610,NL
0001924,MW,9030,NL
0001936,MW,3080,NL
0001940,HM,2650,NL
0001943,HM,9170,NL
0001951,HM,2550,NL
0001964,FA,9830,NL
0001965,HM,9820,NL
0001974,HM,3300,NL
0001983,HR,3900,NL
0001987,FA,2627,NL
0001990,MW,8780,NL
0002001,HR,9200,NL
0002002,MW,2520,NL
0002004,HR,3020,NL
0002007,FA,3620,NL
0002008,HM,2400,NL
0002010,FA,2290,NL
0002024,FA,2290,NL
0002028,HM,3020,NL
0002033,HM,2900,NL
0002034,FA,8300,NL
0002036,MW,9840,NL
0002037,HR,3001,NL
0002049,HR,9111,NL
0002059,FA,1780,NL
0002072,MW,1170,FR
0002078,MW,8000,NL
0002085,HM,2910,NL
0002089,HM,9880,NL
0002094,HM,1840,NL
0002096,HR,2018,NL
0002103,MW,1080,FR
0002118,FA,9255,NL
0002122,FA,3540,NL
0002123,MW,9320,NL
0002125,HR,8500,NL
0002126,FA,3590,NL
0002134,HM,8531,NL
0002138,HR,8501,NL
0002139,FA,8553,NL
0002141,HR,2930,NL
0002147,HM,9700,NL
0002149,FA,2940,NL
0002161,MW,3400,NL
0002163,MW,9000,NL
0002167,HR,2980,NL
0002180,HR,2930,NL
0002184,HR,9200,NL
0002199,HM,8780,NL
0002212,HM,3020,NL
0002217,HR,8500,NL
0002230,HR,1080,FR
0002236,MW,2600,NL
0002248,MW,3803,NL
0002260,MW,8300,NL
0002267,FA,2100,NL
0002274,HM,2018,NL
0002283,MW,8500,NL
0002284,HM,8780,NL
0002288,MW,1702,NL
0002290,FA,1020,NL
0002292,HR,1180,FR
0002296,MW,2930,NL
0002298,HR,9040,NL
0002299,MW,1390,NL
0002302,HM,9111,NL
0002305,MW,3018,NL
