RouteID,Region,WeekOrder,Day
70671404,C04,1,Sunday
219018687,C04,1,Monday
219021882,C04,2,Monday
289755468,B25,1,Monday
289760478,B25,2,Monday
289660604,C17,2,Monday
289655594,C17,1,Monday
289761480,B25,2,Tuesday
219019324,C04,1,Tuesday
289756470,B25,1,Tuesday
289661606,C17,2,Tuesday
219022524,C04,2,Tuesday
289656596,C17,1,Tuesday
289416949,B02,2,Tuesday
289411939,B02,1,Tuesday
289757472,B25,1,Wednesday
289762482,B25,2,Wednesday
289662608,C17,2,Wednesday
289657598,C17,1,Wednesday
219023167,C04,2,Wednesday
289412941,B02,1,Wednesday
219019962,C04,1,Wednesday
289417951,B02,2,Wednesday
289663610,C17,2,Thursday
219023811,C04,2,Thursday
289658600,C17,1,Thursday
289413943,B02,1,Thursday
289758474,B25,1,Thursday
219020601,C04,1,Thursday
289418953,B02,2,Thursday
289763484,B25,2,Thursday
219024456,C04,2,Friday
289414945,B02,1,Friday
289664612,C17,2,Friday
219021241,C04,1,Friday
289419955,B02,2,Friday
289659602,C17,1,Friday
289759476,B25,1,Friday
289764486,B25,2,Friday
